order_id,customer_id,order_date,total_amount
1,6057,2025-01-07,1674.39
2,6463,2025-01-10,1484.29
3,19,2025-01-14,1558.2
4,6193,2025-01-10,1096.42
5,2856,2025-01-24,508.16
6,975,2025-01-02,351.31
7,2378,2025-01-05,1192.28
8,7745,2025-01-08,415.99
9,503,2025-01-03,1500.11
10,4274,2025-01-12,1560.96
11,7946,2025-01-22,1992.71
12,1966,2025-01-12,1416.55
13,1670,2025-01-14,1006.73
14,3406,2025-01-02,1934.54
15,303,2025-01-04,977.07
16,1386,2025-01-22,215.78
17,1484,2025-01-22,1818.2
18,1833,2025-01-07,477.45
19,8439,2025-01-13,373.18
20,5195,2025-01-02,1705.12
21,4548,2025-01-19,989.23
22,5366,2025-01-06,982.75
23,1398,2025-01-25,1684.47
24,8313,2025-01-13,1378.82
25,2900,2025-01-11,1184.1
26,7007,2025-01-15,1815.21
27,1674,2025-01-25,448
28,7681,2025-01-09,1755.98
29,802,2025-01-14,985.18
30,2464,2025-01-07,1467.74
31,4541,2025-01-04,365.39
32,1930,2025-01-22,974.6
33,2752,2025-01-21,1883.57
34,3910,2025-01-18,1581.33
35,6076,2025-01-19,1154.02
36,8041,2025-01-04,1336.72
37,6175,2025-01-04,925.75
38,439,2025-01-21,796.76
39,152,2025-01-19,1320.03
40,2325,2025-01-05,498.93
41,3742,2025-01-02,605.2
42,4899,2025-01-11,1989.03
43,5971,2025-01-05,1586.39
44,7895,2025-01-18,829.14
45,7890,2025-01-11,233.64
46,8156,2025-01-09,1731.81
47,149,2025-01-04,1564.37
48,9055,2025-01-01,1517.48
49,4261,2025-01-14,1596.93
50,2020,2025-01-08,605.53
51,724,2025-01-18,703.35
52,8264,2025-01-18,830.08
53,9947,2025-01-07,1103.63
54,2681,2025-01-17,1611.01
55,3739,2025-01-02,1268.77
56,2283,2025-01-26,1202.98
57,7546,2025-01-19,593.57
58,9812,2025-01-01,369.66
59,817,2025-01-13,361.81
60,1952,2025-01-22,1290.42
61,9340,2025-01-23,1243.9
62,1975,2025-01-15,1091.02
63,1645,2025-01-14,683.56
64,2874,2025-01-11,1410.75
65,1956,2025-01-15,1160.07
66,3658,2025-01-05,1599
67,8280,2025-01-17,811.36
68,8941,2025-01-02,1016.52
69,9495,2025-01-13,1266.2
70,1558,2025-01-05,487.3
71,4973,2025-01-21,554.42
72,7472,2025-01-12,1081.34
73,7420,2025-01-25,1482.07
74,5175,2025-01-07,1053.19
75,7554,2025-01-19,1696.96
76,3316,2025-01-03,1606.03
77,8823,2025-01-17,810.56
78,4401,2025-01-16,1443.55
79,293,2025-01-19,1807.43
80,3414,2025-01-03,1091.61
81,2368,2025-01-20,530.51
82,8658,2025-01-18,369.99
83,1231,2025-01-03,1175.45
84,6371,2025-01-06,863.39
85,4116,2025-01-09,417.84
86,559,2025-01-19,1323.58
87,5293,2025-01-17,1797.66
88,6450,2025-01-20,1184.26
89,1410,2025-01-04,546.23
90,4284,2025-01-22,653.82
91,4568,2025-01-19,1677.17
92,9626,2025-01-16,1495.73
93,776,2025-01-13,1613.76
94,7186,2025-01-15,1067.66
95,9739,2025-01-16,1261.33
96,746,2025-01-19,223.99
97,102,2025-01-23,1240.68
98,9309,2025-01-16,479.82
99,892,2025-01-04,238.09
100,2819,2025-01-01,892.7
101,4274,2025-01-24,1798.02
102,2102,2025-01-07,985.85
103,6705,2025-01-10,1965.55
104,4202,2025-01-15,1914.83
105,8545,2025-01-04,385.83
106,74,2025-01-20,1266.04
107,6720,2025-01-20,1696.92
108,5911,2025-01-26,717.72
109,1955,2025-01-09,602.06
110,8266,2025-01-12,850.48
111,4282,2025-01-11,1669.18
112,2402,2025-01-24,1868.96
113,5899,2025-01-01,433.24
114,894,2025-01-09,1165.34
115,2243,2025-01-09,880.05
116,7867,2025-01-05,783.5
117,8509,2025-01-01,890.26
118,4344,2025-01-25,450.19
119,1306,2025-01-25,1998.48
120,1277,2025-01-14,592.39
121,3609,2025-01-10,279.73
122,3600,2025-01-19,587.23
123,9910,2025-01-19,988.12
124,1904,2025-01-26,407.2
125,3574,2025-01-05,233.84
126,9409,2025-01-03,581.36
127,1078,2025-01-23,529.5
128,9956,2025-01-18,1256.15
129,251,2025-01-20,970
130,5230,2025-01-08,781.27
131,9304,2025-01-01,238.88
132,7601,2025-01-12,1447.32
133,8543,2025-01-06,1211.98
134,6643,2025-01-07,1415.82
135,3585,2025-01-10,327.43
136,3893,2025-01-22,1067.49
137,2993,2025-01-05,1294.45
138,1413,2025-01-22,455.58
139,7167,2025-01-05,1889.66
140,6704,2025-01-14,709.25
141,8476,2025-01-04,1575.84
142,3086,2025-01-02,871
143,1820,2025-01-09,583.71
144,536,2025-01-07,653.16
145,6818,2025-01-02,1181.35
146,1580,2025-01-03,1460.8
147,2611,2025-01-10,663.47
148,7605,2025-01-17,562.74
149,6777,2025-01-24,1694.79
150,8242,2025-01-19,1261.1
151,9634,2025-01-05,357.46
152,9563,2025-01-24,1234.41
153,6616,2025-01-12,596.15
154,6660,2025-01-20,252.37
155,9872,2025-01-05,573.73
156,9252,2025-01-20,1820.46
157,9349,2025-01-17,511.55
158,800,2025-01-04,338.36
159,6273,2025-01-01,1005.89
160,2321,2025-01-17,1626.81
161,5069,2025-01-03,842.13
162,7981,2025-01-08,1157.92
163,3799,2025-01-19,489.52
164,2751,2025-01-12,1233.56
165,1382,2025-01-14,306.31
166,448,2025-01-02,1761.15
167,1685,2025-01-25,1436.98
168,4140,2025-01-12,411.7
169,9227,2025-01-09,1415.65
170,6312,2025-01-17,476.52
171,5729,2025-01-09,1331.74
172,2707,2025-01-04,1539.42
173,2278,2025-01-05,1282.6
174,2357,2025-01-20,683.47
175,5790,2025-01-25,1290.2
176,8501,2025-01-03,1030.92
177,2258,2025-01-10,723.72
178,7424,2025-01-14,741.05
179,6448,2025-01-21,1427.92
180,8955,2025-01-04,1021.19
181,7926,2025-01-13,1696.37
182,345,2025-01-25,1911.05
183,2021,2025-01-08,294.36
184,2675,2025-01-07,1221.68
185,1265,2025-01-10,569.15
186,5755,2025-01-13,906.01
187,9204,2025-01-01,1288.24
188,8900,2025-01-02,1567.49
189,4627,2025-01-21,1948.61
190,3662,2025-01-01,1178.53
191,3589,2025-01-11,556.45
192,9255,2025-01-12,555.1
193,4527,2025-01-14,366.39
194,9849,2025-01-15,1946.89
195,2336,2025-01-05,1872.21
196,4897,2025-01-26,512.96
197,4197,2025-01-16,1739.3
