order_detail_id,order_id,product_id,qty,order_price
1,9704,3,3,1014.24
2,5479,1,4,1494.72
3,3460,2,4,1418.04
4,7750,5,3,1120.67
5,7927,2,2,986.88
6,4374,3,4,984.6
7,6307,5,3,270.48
8,6834,2,4,1477.94
9,5026,3,3,1048.83
10,1612,3,3,488.31
11,8229,2,5,1088.05
12,4910,2,5,205.58
13,253,5,2,1095.36
14,3573,4,5,1400.12
15,5981,2,1,1173.73
16,5426,5,4,237.68
17,8978,5,5,1397.94
18,4591,2,2,392.38
19,1767,2,4,1406.87
20,7840,3,4,1121.8
21,8692,3,2,191.56
22,1089,1,4,211.45
23,3197,3,5,169.71
24,5947,1,4,1026.1
25,2804,3,5,1489.51
26,931,4,4,1310.16
27,752,2,2,1466.85
28,9289,2,1,595.1
29,728,2,4,338.33
30,3714,3,4,443.42
31,8483,3,5,1003.88
32,7268,1,2,1461.02
33,7103,5,2,1468.11
34,1523,3,3,931.34
35,3126,1,3,665.67
36,5529,1,4,1423.63
37,4628,2,1,965.17
38,3350,1,1,421.67
39,2378,5,2,1260.69
40,4102,3,2,125.76
41,3828,1,2,1142.74
42,1600,4,4,1173.63
43,3490,2,3,283.14
44,7952,3,3,418.33
45,5576,5,1,299.03
46,3085,1,5,560.31
47,6950,5,4,447.93
48,7848,3,3,220.78
49,5893,3,3,971.92
50,8533,2,1,461.04
51,9516,4,4,741.43
52,3304,5,4,373.59
53,6683,1,4,1333.07
54,5487,3,4,1495.05
55,1788,4,5,849.53
56,7249,1,5,1248.44
57,1078,2,5,320.15
58,7379,5,5,766.61
59,3336,3,2,427.89
60,4707,5,3,1169.85
61,593,5,1,901.53
62,4170,4,5,516.65
63,1396,1,3,1015.36
64,9,5,4,600.21
65,3641,3,1,1499.11
66,3727,3,3,428.22
67,7695,4,1,481.27
68,6154,5,4,858.23
69,797,3,5,1297.42
70,9429,2,1,306.99
71,477,1,2,282.08
72,3952,4,5,195
73,7058,5,1,1239.87
74,3270,1,3,794.15
75,9814,2,4,1251.36
76,5022,1,1,762.21
77,2474,1,2,968.37
78,6763,5,2,416.43
79,6391,1,3,1483.92
80,3424,2,1,212.15
81,2157,5,3,1114.45
82,2242,5,5,126.92
83,9594,4,3,1409.4
84,7916,4,4,583.95
85,5097,4,2,281.75
86,5621,1,4,1155.6
87,2525,1,4,246.99
88,3124,1,1,664.85
89,8562,2,1,982.68
90,2337,4,1,561.25
91,4347,1,5,183.57
92,9745,5,2,1018.58
93,2650,4,3,108.54
94,9259,1,1,1485.44
95,21,4,2,496.34
96,5667,1,4,1023.48
97,8202,1,4,1220.4
98,5063,2,5,889.18
99,5401,5,2,647.38
100,7686,1,2,389.09
101,8835,2,3,1038.5
102,7771,3,1,992.81
103,5213,4,2,170
104,9056,3,1,1223.96
105,1312,3,3,655.16
106,7157,5,2,1324.42
107,1100,2,5,838.5
108,3341,1,1,290.41
109,2572,4,2,515.85
110,4263,3,2,1170
111,3109,5,5,733.78
112,1349,2,1,1093.18
113,1716,1,2,943.96
114,7580,5,5,1365.91
115,9638,5,1,300.95
116,2120,2,1,1116.05
117,7198,2,2,1377.17
118,3512,3,4,1246.01
119,7437,3,2,852.63
120,1174,3,5,178.11
121,5132,2,2,1224.1
122,3539,4,3,105.18
123,5674,1,5,441.46
124,5747,1,1,1092.63
125,1712,3,4,880.05
126,6354,2,2,1325.89
127,3516,2,4,706.77
128,3090,3,2,712.87
129,7848,1,1,1290.01
130,8695,5,4,1323.86
131,4114,4,2,602.06
132,9652,2,2,1160.82
133,1496,4,2,395.46
134,2587,2,4,478.67
135,1748,3,2,697.44
136,5645,4,5,1109.31
137,6377,2,1,693.22
138,9239,3,5,255.26
139,2346,1,4,1217.27
140,8236,5,1,522.31
141,5674,4,1,921.36
142,4866,1,4,1283.05
143,3538,3,4,276.34
144,1211,5,5,643.78
145,9376,5,2,1416.64
146,5779,1,3,545.21
147,1229,3,4,157.1
148,169,3,2,422.6
149,1096,5,5,620.63
150,1203,2,3,160.68
151,9815,5,1,1335.43
152,5119,1,5,915.69
153,3592,3,1,749.21
154,1093,2,2,537.37
155,4802,1,2,564.01
156,3986,4,1,659.62
157,3390,3,2,1493.55
158,5502,2,5,529.38
159,5147,4,1,544.27
160,9458,2,5,1124.61
161,2905,4,2,1135.2
162,9030,4,1,697.61
163,8429,4,5,284.97
164,6457,5,5,356.47
165,7384,2,1,1105.23
166,5515,4,3,858.51
167,890,2,1,618.08
168,1274,5,2,763.06
169,1060,2,3,627.49
170,7440,4,4,493.52
171,8837,3,1,1342.91
172,3085,1,3,884.57
173,8244,3,2,941.3
174,2265,5,3,815.23
175,1351,2,3,1065.37
176,324,5,1,462.64
177,85,5,5,1275.24
178,9298,3,2,1391.88
179,2740,5,2,725.18
180,4606,2,4,1423.14
181,9217,4,4,1250.98
182,3579,3,5,1215.75
183,7196,4,3,1152.81
184,8750,3,2,1193.5
185,4708,1,4,338.2
186,1868,1,2,177.77
187,4267,3,3,1195.47
188,2105,3,5,216.92
189,5355,2,1,1067.21
190,4249,2,5,116.76
191,239,5,5,1439.32
192,5899,2,2,314.82
193,7623,3,4,244.35
194,7855,1,3,1307.76
195,3643,5,4,637.67
196,9482,1,3,1315.19
197,6927,1,5,1390.88
198,9815,4,3,1269.31
199,9774,5,2,723.72
200,522,3,5,1193.89
201,7189,5,4,176.76
202,284,4,3,1474.42
203,4607,4,5,727.03
204,7382,4,1,1140.56
205,3808,1,2,948.68
206,6750,1,5,994.32
207,6272,4,4,987.71
208,3519,5,5,384.26
209,9074,4,5,994.24
210,1527,2,2,1118.73
211,7773,5,1,262.63
212,9647,2,5,1043.66
213,9547,2,1,192.14
214,7798,3,4,344.82
215,5039,5,3,1471.96
216,4509,4,3,606.1
217,2015,1,5,261.55
218,8985,4,3,1242.7
219,3683,1,1,328.21
220,1030,2,4,554.02
221,7191,3,2,518.63
222,6111,5,5,961.46
223,6415,5,3,813.78
224,1786,2,5,518.24
225,9987,1,2,532.67
226,8713,5,3,1288.53
227,9291,1,2,925.96
228,2294,3,4,225.12
229,198,1,2,1227.35
230,9423,2,5,217.69
231,7624,5,4,1154.71
232,6014,5,4,609
233,9198,3,1,1103.58
234,9309,1,2,712.1
235,5714,1,4,1027.04
236,9421,3,1,1218.12
237,6495,5,2,580.78
238,5318,1,3,1368.57
239,62,2,3,926.96
240,3862,3,3,854.73
241,3952,2,1,1442.57
242,1993,2,1,405.51
243,6360,5,4,1140.85
244,4438,4,2,1308.62
245,4241,1,4,265.28
246,5425,5,4,894.76
247,7029,4,1,342.28
248,6809,5,4,353.33
249,6783,2,3,809.86
250,48,3,5,159.56
251,8075,2,1,512.6
252,8878,2,1,395.56
253,5730,3,5,410.18
254,4044,3,1,282.95
255,1556,3,4,458.05
256,2303,5,5,750.57
257,4825,3,4,1092.59
258,5930,3,2,813.21
259,8619,3,3,1305.21
260,5875,3,2,507.95
261,7816,4,5,788.7
262,7703,3,5,616.45
263,5880,3,3,501.42
264,7011,4,3,275.33
265,3469,5,4,318.09
266,3602,2,2,315.36
267,1288,1,2,1105.83
268,2835,2,4,673.02
269,7945,2,3,362.19
270,2273,4,5,1001.84
271,8224,5,3,735.31
272,9317,1,1,1433.52
273,4182,1,5,656.48
274,1688,2,1,1081.47
275,4562,5,1,488.63
276,1095,1,3,1394.46
277,6512,2,3,1473.67
278,2079,1,2,1221.2
279,5940,2,3,570.95
280,8880,2,5,901.23
281,1044,2,3,769.59
282,4490,4,3,912.82
283,3282,4,5,849.6
284,6933,4,3,1348.49
285,3042,1,2,541.25
286,5534,4,2,585.92
287,1059,4,3,547.25
288,4578,2,4,1007.59
289,6494,5,2,280.04
290,6328,3,2,1417.55
291,7600,4,3,1094.76
292,2315,4,3,336.44
293,1339,4,1,994.93
294,5560,1,4,1070.01
295,8972,5,1,203.63
296,663,4,1,903.58
297,8547,3,5,1161.67
298,6098,5,5,340.12
299,9648,5,3,1188.78
300,1559,4,3,1025.1
301,6364,5,2,389.13
302,1237,3,4,835.05
303,4456,3,5,1248.57
304,4589,2,4,1386.67
